recommendationId,userId,algorithm,recommendationRate,precisionType,itemsId-rate
4,43448,CollaborativeFiltering,2,imprecise,296-4.329508196721312;150-4.216867469879518;595-4.0266272189349115;
5,43448,CollaborativeFiltering,0,imprecise,296-4.152416356877324;150-3.9094827586206895;380-3.796116504854369;
7,43448,CollaborativeFiltering,0,imprecise,296-4.580597014925373;150-3.9779411764705883;595-3.8344155844155843;
8,43448,CollaborativeFiltering,0,imprecise,296-4.18625678119349;150-3.9171907756813416;380-3.6449579831932772;
9,43448,CollaborativeFiltering,0,imprecise,595-4.0520231213872835;150-3.9251824817518246;296-3.8;
10,43448,CollaborativeFiltering,0,imprecise,296-4.233333333333333;150-3.987938596491228;595-3.903174603174603;
11,43448,CollaborativeFiltering,0,imprecise,150-4.2558823529411764;595-4.105072463768116;165-3.8676470588235294;
12,43448,CollaborativeFiltering,0,imprecise,296-4.532786885245901;150-3.9630872483221475;165-3.5306748466257667;
13,43448,CollaborativeFiltering,0,imprecise,296-4.484520123839009;150-3.971291866028708;595-3.8819444444444446;
14,43448,CollaborativeFiltering,0,imprecise,296-4.527397260273973;150-4.060924369747899;349-3.646449704142012;
15,43448,CollaborativeFiltering,0,imprecise,296-4.497596153846154;595-4.2;380-3.903973509933775;
16,43448,CollaborativeFiltering,0,imprecise,150-4.015837104072398;296-3.8306451612903225;595-3.735135135135135;
17,43448,CollaborativeFiltering,0,imprecise,296-4.4317738791423;150-4.079601990049751;595-3.9024896265560165;
18,43448,CollaborativeFiltering,0,imprecise,296-4.391269841269842;150-4.098646034816247;349-3.6537433155080214;
19,43448,CollaborativeFiltering,0,imprecise,296-4.02079207920792;150-3.895424836601307;349-3.7097701149425286;
20,43448,CollaborativeFiltering,0,imprecise,296-4.3447432762836184;150-3.9883268482490273;349-3.7364864864864864;
21,43448,CollaborativeFiltering,0,imprecise,296-4.566539923954372;150-3.978468899521531;349-3.617056856187291;
22,43448,CollaborativeFiltering,0,imprecise,296-4.287904599659284;150-3.97165991902834;595-3.768882175226586;
23,43448,CollaborativeFiltering,0,imprecise,296-4.409902597402597;150-3.8852459016393444;380-3.717299578059072;
24,43448,CollaborativeFiltering,0,imprecise,296-4.163755458515284;165-3.9651898734177213;595-3.7372262773722627;
25,43448,CollaborativeFiltering,0,imprecise,296-4.314516129032258;150-3.9933110367892977;165-3.6333333333333333;
26,43448,CollaborativeFiltering,0,imprecise,595-4.096590909090909;150-3.8076923076923075;165-3.763888888888889;
27,43448,CollaborativeFiltering,0,imprecise,595-4.360655737704918;150-3.880952380952381;380-3.7936046511627906;
28,43448,CollaborativeFiltering,0,imprecise,296-4.37046204620462;150-3.9722222222222223;595-3.635258358662614;
29,43448,CollaborativeFiltering,0,imprecise,349-4.0327102803738315;150-3.9826589595375723;296-3.9792899408284024;
30,43448,CollaborativeFiltering,0,imprecise,296-4.248780487804878;595-4.053571428571429;150-3.950892857142857;
31,43448,CollaborativeFiltering,0,imprecise,296-4.114369501466276;150-3.880327868852459;349-3.6818181818181817;
32,43448,CollaborativeFiltering,0,imprecise,296-4.280864197530864;150-4.067708333333333;595-3.834061135371179;
33,43448,CollaborativeFiltering,0,imprecise,150-4.215686274509804;595-3.878504672897196;165-3.5919540229885056;
34,43448,CollaborativeFiltering,0,imprecise,296-4.355691056910569;150-3.912556053811659;349-3.729768786127168;
35,43448,CollaborativeFiltering,0,imprecise,296-4.142857142857143;165-3.9479166666666665;595-3.4591836734693877;
36,43448,CollaborativeFiltering,0,imprecise,296-4.48440366972477;150-4.017564402810304;380-3.5635103926097;
37,43448,CollaborativeFiltering,0,imprecise,296-4.4466357308584685;150-3.9616336633663365;165-3.6840390879478826;
38,43448,CollaborativeFiltering,0,imprecise,296-4.273049645390071;150-3.9327731092436973;165-3.877659574468085;
39,hola,CollaborativeFiltering,0,imprecise,
