recommendationId,userId,algorithm,recommendationRate,precisionType,itemsId-rate
1,114728,CollaborativeFiltering,0,imprecise,260-3.6863636363636365;2291-3.5522388059701493;8961-3.5275229357798166;
1,114728,CollaborativeFiltering,0,imprecise,260-3.5804597701149423;3114-3.4634146341463414;2012-3.4375;
1,114728,CollaborativeFiltering,0,imprecise,260-3.6650641025641026;8961-3.4254658385093166;551-3.4051094890510947;
1,114728,CollaborativeFiltering,0,imprecise,551-3.933734939759036;2291-3.9322033898305087;260-3.7555555555555555;
1,43448,CollaborativeFiltering,0,imprecise,150-4.195238095238095;595-3.8035714285714284;349-3.738095238095238;
1,43448,CollaborativeFiltering,0,imprecise,296-4.325112107623318;595-4.04054054054054;150-4.033505154639175;
2,43448,CollaborativeFiltering,0,imprecise,296-4.325112107623318;595-4.04054054054054;150-4.033505154639175;
3,43448,CollaborativeFiltering,0,imprecise,296-4.325112107623318;595-4.04054054054054;150-4.033505154639175;
1,43448,CollaborativeFiltering,0,imprecise,296-4.506775067750677;595-4.007142857142857;150-3.7991329479768785;
1,43448,CollaborativeFiltering,0,imprecise,296-4.295825771324864;150-3.8638297872340424;165-3.6693121693121693;
1,43448,CollaborativeFiltering,0,imprecise,595-4.182539682539683;329-4.135416666666667;165-4.0;
2,43448,CollaborativeFiltering,0,imprecise,165-3.838709677419355;150-3.7767857142857144;296-3.5760869565217392;
1,43448,CollaborativeFiltering,0,imprecise,296-4.101587301587301;595-4.0078125;150-3.8759541984732824;
1,43448,CollaborativeFiltering,0,imprecise,150-4.184357541899441;595-4.0310077519379846;349-3.7264150943396226;
1,43448,CollaborativeFiltering,0,imprecise,296-4.285714285714286;150-3.8797468354430378;165-3.6333333333333333;
1,43448,CollaborativeFiltering,0,imprecise,296-4.312133072407045;150-3.9642082429501087;349-3.4709302325581395;
1,43448,CollaborativeFiltering,0,imprecise,595-4.682926829268292;150-4.133802816901408;296-4.057377049180328;
1,43448,CollaborativeFiltering,0,imprecise,296-4.503344481605351;595-4.1572327044025155;150-3.992248062015504;
1,43448,CollaborativeFiltering,0,imprecise,296-4.474290780141844;150-3.9716157205240177;349-3.6362359550561796;
1,43448,CollaborativeFiltering,0,imprecise,296-4.350760456273764;150-4.026373626373626;349-3.6209439528023597;
2,43448,CollaborativeFiltering,0,imprecise,296-4.167315175097277;165-3.7982954545454546;380-3.723004694835681;
3,43448,CollaborativeFiltering,0,imprecise,296-4.167315175097277;165-3.7982954545454546;380-3.723004694835681;
4,43448,ContentBasedFiltering,0,imprecise,329-5.000000000000001;595-5.0;316-5.0;
5,43448,ContentBasedFiltering,0,imprecise,329-5.000000000000001;595-5.0;316-5.0;
6,43448,CollaborativeFiltering,0,imprecise,296-4.34180790960452;150-3.9474474474474475;165-3.741509433962264;
7,43448,CollaborativeFiltering,0,imprecise,296-4.365957446808511;150-3.7563451776649748;380-3.7426470588235294;
8,43448,CollaborativeFiltering,0,imprecise,296-4.365957446808511;150-3.7563451776649748;380-3.7426470588235294;
9,43448,CollaborativeFiltering,0,imprecise,296-4.583086053412463;150-4.040925266903915;595-3.664804469273743;
10,43448,CollaborativeFiltering,0,imprecise,150-4.207692307692308;296-3.930735930735931;349-3.8109756097560976;
11,43448,CollaborativeFiltering,0,imprecise,296-3.9329501915708813;595-3.911949685534591;165-3.9095238095238094;
12,43448,CollaborativeFiltering,0,imprecise,296-4.324675324675325;150-4.098039215686274;349-3.6762402088772848;
13,43448,CollaborativeFiltering,0,imprecise,296-4.295341098169717;150-4.0587084148727985;595-3.7886904761904763;
14,43448,CollaborativeFiltering,0,imprecise,595-4.008264462809917;150-3.8884462151394423;296-3.8333333333333335;
1,43448,CollaborativeFiltering,0,imprecise,165-3.9689922480620154;150-3.594059405940594;595-3.56993006993007;
2,43448,CollaborativeFiltering,0,imprecise,296-4.732620320855615;150-3.908296943231441;380-3.7072649572649574;
1,43448,CollaborativeFiltering,0,imprecise,296-4.377568493150685;150-4.064646464646465;595-3.8312101910828025;
1,43448,CollaborativeFiltering,0,imprecise,150-3.976470588235294;595-3.739130434782609;349-3.5892857142857144;
1,43448,CollaborativeFiltering,0,imprecise,296-4.1826484018264845;150-4.035502958579881;349-3.7735849056603774;
1,43448,CollaborativeFiltering,0,imprecise,150-4.0875;595-3.9232558139534883;296-3.841328413284133;
2,43448,CollaborativeFiltering,0,imprecise,150-4.0875;595-3.9232558139534883;296-3.841328413284133;
3,43448,ContentBasedFiltering,0,imprecise,329-5.000000000000001;595-5.0;316-5.0;
4,43448,ContentBasedFiltering,0,imprecise,329-5.000000000000001;595-5.0;316-5.0;
1,43448,CollaborativeFiltering,0,imprecise,150-3.982456140350877;296-3.8076923076923075;595-3.7184873949579833;
2,43448,CollaborativeFiltering,0,imprecise,150-3.982456140350877;296-3.8076923076923075;595-3.7184873949579833;
3,43448,ContentBasedFiltering,0,imprecise,329-5.000000000000001;595-5.0;316-5.0;
1,43448,CollaborativeFiltering,0,imprecise,296-4.239219712525667;150-3.94988344988345;595-3.8968253968253967;
2,43448,ContentBasedFiltering,0,imprecise,329-5.000000000000001;595-5.0;316-5.0;
3,43448,ContentBasedFiltering,0,imprecise,329-5.000000000000001;595-5.0;316-5.0;
15,43448,CollaborativeFiltering,0,imprecise,296-4.1742301458670985;150-3.972711267605634;349-3.7052505966587113;
